,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
MJ's Beauty Academy Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
MKG Beauty & Business,-10.0,0,0,0,0,0,0,0,0,0,0,0
MTI Business College Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Madera Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Magnolia College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mai-trix Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Make-up Designory,-10.0,0,0,0,0,0,0,0,0,0,0,0
Manchester Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Mandalyn Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
MCI Institute of Technology-Boca Raton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lamson Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Laird Institute of Spa Therapy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lake Lanier School of Massage,-10.0,0,0,0,0,0,0,0,0,0,0,0
JZ Trend Academy Paul Mitchell Partner School,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville Beauty Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jay's Technical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jean Madeline Aveda Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jenny Lea Academy of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Joe Kubert School of Cartoon and Graphic Art,-10.0,0,0,0,0,0,0,0,0,0,0,0
Joffrey Ballet School,-10.0,0,0,0,0,0,0,0,0,0,0,0
John Amico School of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
John Jay Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,-10.0,0,0,0,0,0,0,0,0,0,0,0
John Wesley International Barber and Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Johnson & Wales University-Online,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolei's Hair Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Hair and Beauty Academy-Hazleton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Hair and Beauty Academy-Ludlow,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Hair and Beauty Academy-Northfield,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Hair and Beauty Academy-Wilkes-Barre,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Health & Beauty Academy-Cherry Hill,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jolie Health and Beauty Academy-Turnersville,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jonesville Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
Josef's School of Hair Design Inc-Fargo Downtown,-10.0,0,0,0,0,0,0,0,0,0,0,0
Josef's School of Hair Design Inc-Grand Forks,-10.0,0,0,0,0,0,0,0,0,0,0,0
Josef's West Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
JB's Hair Design and Barber College,-10.0,0,0,0,0,0,0,0,0,0,0,0
J Renee College,-10.0,0,0,0,0,0,0,0,0,0,0,0
J Michael Harrold Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Irene's Myomassology Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Academy of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Academy of Style,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Air and Hospitality Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Barber & Style College,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Beauty School 4,-10.0,0,0,0,0,0,0,0,0,0,0,0
International College of Beauty Arts & Sciences,-10.0,0,0,0,0,0,0,0,0,0,0,0
International College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Cosmetology Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Culinary Arts and Sciences Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Joseph's College Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Culinary Center-California,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Institute of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Salon and Spa Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International School of Beauty Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
International School of Cosmetology-Toni & Guy Hairdressing Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International School of Skin Nailcare & Massage Therapy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Sports Sciences Association,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Technical College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Iowa School of Beauty-Des Moines,-10.0,0,0,0,0,0,0,0,0,0,0,0
Iowa School of Beauty-Marshalltown,-10.0,0,0,0,0,0,0,0,0,0,0,0
Iowa School of Beauty-Ottumwa,-10.0,0,0,0,0,0,0,0,0,0,0,0
Iowa School of Beauty-Sioux City,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Hair and Barber Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lakewood School of Therapeutic Massage,-10.0,0,0,0,0,0,0,0,0,0,0,0
Jupiter Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
KC's School of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
Knoxville Institute of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kussad Institute of Court Reporting,-10.0,0,0,0,0,0,0,0,0,0,0,0
L T International Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
L'Academie de Cuisine,-10.0,0,0,0,0,0,0,0,0,0,0,0
L'esprit Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
LIU Brentwood,-10.0,0,0,0,0,0,0,0,0,0,289,0
LIU Hudson at Rockland,-10.0,0,0,0,0,0,0,0,0,0,168,0
LIU Hudson at Westchester,-10.0,0,0,0,0,0,0,0,0,0,119,0
La Baron Hairdressing Academy-Brockton,-10.0,0,0,0,0,0,0,0,0,0,0,0
La Baron Hairdressing Academy-New Bedford,-10.0,0,0,0,0,0,0,0,0,0,0,0
La Baron Hairdressing Academy-Overland Park,-10.0,0,0,0,0,0,0,0,0,0,0,0
La Belle Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
La Belle Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James College of Hairstyling and Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-Cedar Falls,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-Davenport,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-East Moline,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-Ft Dodge,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-Iowa City,-10.0,0,0,0,0,0,0,0,0,0,0,0
La James International College-Johnston,-10.0,0,0,0,0,0,0,0,0,0,0,0
La'James International College,-10.0,0,0,0,0,0,0,0,0,0,0,0
LaBarberia Institute of Hair,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marinello Schools of Beauty-Topeka,-10.0,0,0,0,0,0,0,0,0,0,0,0
Knox Theological Seminary,-10.0,0,0,0,0,0,0,0,0,0,0,0
Knox Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kittanning Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Talihina,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kaizen Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kansas Christian College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kay Harvey Academy of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keene Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keiser University - Clearwater,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keiser University - NPR,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keiser University - Residential,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology and Nails-Columbia,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-Columbia,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-Florence,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-Greenville,-10.0,0,0,0,0,0,0,0,0,0,0,0
