Unnamed: 0,Ovhd,Rank,CONTROL
SUNY College at Cortland,1.32,1185.0,1
University of Missouri-St Louis,1.32,1185.0,1
Northern Illinois University,1.32,1185.0,1
University of South Dakota,1.32,1185.0,1
Purdue University-Calumet Campus,1.32,1185.0,1
Washington State University,1.33,1198.5,1
Middle Georgia State University,1.33,1198.5,1
University of Maine at Augusta,1.34,1213.5,1
University of California-Riverside,1.35,1232.5,1
Clark College,1.35,1232.5,1
University of Maine at Presque Isle,1.35,1232.5,1
University of South Florida-St Petersburg,1.35,1232.5,1
Cleveland State University,1.35,1232.5,1
Indian River State College,1.36,1252.0,1
Farmingdale State College,1.37,1272.5,1
University of Wisconsin-Green Bay,1.37,1272.5,1
Georgia State University,1.37,1272.5,1
SUNY College of Technology at Canton,1.37,1272.5,1
University of Delaware,1.37,1272.5,1
SUNY Maritime College,1.37,1272.5,1
University of Maine,1.37,1272.5,1
Kansas State University,1.38,1294.0,1
University of South Carolina-Upstate,1.38,1294.0,1
Coastal Carolina University,1.38,1294.0,1
University of Wisconsin-Parkside,1.38,1294.0,1
Virginia Commonwealth University,1.38,1294.0,1
Arizona State University-Tempe,1.39,1316.0,1
Purdue University-Main Campus,1.39,1316.0,1
University of Arkansas,1.39,1316.0,1
University of Puerto Rico-Cayey,1.39,1316.0,1
Rutgers University-New Brunswick,1.39,1316.0,1
University of Vermont,1.39,1316.0,1
University of Illinois at Springfield,1.4,1340.0,1
University of New Orleans,1.4,1340.0,1
University of Arizona-South,1.4,1340.0,1
Lander University,1.4,1340.0,1
Georgia Highlands College,1.4,1340.0,1
University of Hawaii-West Oahu,1.4,1340.0,1
University of Alaska Southeast,1.41,1361.0,1
SUNY Buffalo State,1.41,1361.0,1
University of Colorado Denver/Anschutz Medical Campus,1.41,1361.0,1
Morehead State University,1.41,1361.0,1
Sul Ross State University,1.41,1361.0,1
Auburn University,1.41,1361.0,1
Ohio State University-Marion Campus,1.42,1378.0,1
Brazosport College,1.42,1378.0,1
The University of Tennessee-Health Science Center,1.42,1378.0,1
University of Wisconsin-Madison,1.43,1395.5,1
CUNY York College,1.43,1395.5,1
Castleton University,1.43,1395.5,1
University of Guam,1.43,1395.5,1
Kennesaw State University,1.44,1415.0,1
Kennesaw State University,1.44,1415.0,1
Clover Park Technical College,1.44,1415.0,1
University of Baltimore,1.44,1415.0,1
The University of Alabama,1.44,1415.0,1
Morrisville State College,1.45,1431.0,1
The University of Texas at San Antonio,1.45,1431.0,1
California State University-Bakersfield,1.46,1448.0,1
Albany State University,1.46,1448.0,1
New Jersey Institute of Technology,1.46,1448.0,1
New Mexico Highlands University,1.46,1448.0,1
Midland College,1.46,1448.0,1
Alabama A & M University,1.46,1448.0,1
Northwestern Michigan College,1.46,1448.0,1
University of California-Irvine,1.46,1448.0,1
University of Puerto Rico-Utuado,1.46,1448.0,1
North Dakota State University-Main Campus,1.47,1470.0,1
Eastern Connecticut State University,1.47,1470.0,1
East Georgia State College,1.47,1470.0,1
Ramapo College of New Jersey,1.47,1470.0,1
New College of Florida,1.47,1470.0,1
Texas A&M University-San Antonio,1.47,1470.0,1
Bridgewater State University,1.47,1470.0,1
Columbia Basin College,1.47,1470.0,1
University of Montevallo,1.48,1491.5,1
University of Illinois at Chicago,1.48,1491.5,1
Escuela de Artes Plasticas y Diseno de Puerto Rico,1.48,1491.5,1
Jackson State University,1.48,1491.5,1
Oklahoma State University-Oklahoma City,1.48,1491.5,1
University of North Carolina School of the Arts,1.48,1491.5,1
Montana State University,1.48,1491.5,1
California State University-San Bernardino,1.49,1506.0,1
Saint Johns River State College,1.5,1516.5,1
Peru State College,1.5,1516.5,1
Florida International University,1.5,1516.5,1
Massachusetts College of Liberal Arts,1.51,1532.0,1
Eastern New Mexico University-Main Campus,1.51,1532.0,1
Indiana University-Purdue University-Fort Wayne,1.51,1532.0,1
Renton Technical College,1.51,1532.0,1
Daytona State College,1.51,1532.0,1
Troy University,1.52,1549.0,1
University of Southern Maine,1.52,1549.0,1
Yakima Valley Community College,1.52,1549.0,1
CUNY Graduate School and University Center,1.53,1565.0,1
University of Arkansas at Pine Bluff,1.53,1565.0,1
Lyndon State College,1.53,1565.0,1
Montana State University-Northern,1.53,1565.0,1
Bainbridge State College,1.53,1565.0,1
University of Kentucky,1.53,1565.0,1
Potomac State College of West Virginia University,1.54,1579.0,1
Delaware State University,1.54,1579.0,1
Illinois State University,1.54,1579.0,1
Olympic College,1.54,1579.0,1
University of Georgia,1.54,1579.0,1
