UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
226277,"R",42,"R",2148034,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",242537,"R",22,"R",1459739,"Z",0,"Z",0,"R",1,"R",49830,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",24523,"Z",0,"Z",0,"R",11,"R",371405,"Z",0,"Z",0,"Z",0,"Z",0
226383,"R",216,"R",8833674,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",169427,"R",37,"R",2826871,"R",2,"R",105613,"R",17,"R",785510,"R",47,"R",2020157,"R",4,"R",286653,"R",37,"R",842856,"R",5,"R",135340,"R",56,"R",1416070,"R",7,"R",245177,"Z",0,"Z",0
226408,"R",209,"R",11484189,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",2743576,"R",28,"R",2492287,"R",20,"R",1101862,"R",17,"R",913065,"R",23,"R",1225948,"Z",0,"Z",0,"R",15,"R",654786,"Z",0,"Z",0,"R",47,"R",2030073,"R",5,"R",227476,"R",1,"R",95116
226471,"R",290,"R",15171823,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",505163,"R",49,"R",5380327,"R",53,"R",2149992,"R",19,"R",859985,"R",32,"R",1809818,"R",6,"R",280246,"R",58,"R",2148127,"R",8,"R",245517,"R",52,"R",1792648,"Z",0,"Z",0,"Z",0,"Z",0
226578,"R",326,"R",12795365,"Z",0,"Z",0,"Z",0,"Z",0,"R",71,"R",2741265,"R",37,"R",3208716,"R",14,"R",577894,"R",21,"R",905465,"R",35,"R",1360705,"R",1,"R",47063,"R",61,"R",1548668,"Z",0,"Z",0,"R",86,"R",2405589,"Z",0,"Z",0,"Z",0,"Z",0
226587,"R",128,"R",5294679,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",237732,"R",26,"R",2034455,"R",6,"R",265249,"R",5,"R",215814,"R",35,"R",1348204,"R",3,"R",99000,"R",15,"R",265262,"R",1,"R",29120,"R",26,"R",679057,"R",4,"R",120786,"Z",0,"Z",0
226806,"R",269,"R",12843277,"Z",0,"Z",0,"R",10,"R",488378,"R",17,"R",874524,"R",37,"R",3373435,"R",8,"R",428739,"R",18,"R",981371,"R",39,"R",1839117,"R",1,"R",65827,"R",36,"R",1220984,"R",2,"R",78600,"R",91,"R",3143254,"R",9,"R",320922,"R",1,"R",28126
226833,"R",404,"R",16398348,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",1736151,"R",50,"R",4608050,"R",10,"R",449782,"R",18,"R",938002,"R",31,"R",1504400,"R",2,"R",63079,"R",65,"R",1548364,"Z",0,"Z",0,"R",151,"R",4436837,"R",31,"R",1022087,"R",3,"R",91596
226879,"R",13,"R",998869,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",59229,"R",10,"R",906360,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",33280,"Z",0,"Z",0,"Z",0,"Z",0
226930,"R",204,"R",9465391,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",1206543,"R",53,"R",3377757,"R",10,"R",509063,"R",12,"R",636907,"R",32,"R",1349511,"Z",0,"Z",0,"R",16,"R",494257,"Z",0,"Z",0,"R",43,"R",1539059,"R",9,"R",352294,"Z",0,"Z",0
227146,"R",252,"R",10677586,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",1121089,"R",52,"R",3976410,"R",6,"R",245912,"R",11,"R",530459,"R",6,"R",216025,"Z",0,"Z",0,"R",50,"R",1669190,"Z",0,"Z",0,"R",98,"R",2918501,"Z",0,"Z",0,"Z",0,"Z",0
227182,"R",1814,"R",97341495,"Z",0,"Z",0,"Z",0,"Z",0,"R",55,"R",4077639,"R",269,"R",26837606,"R",535,"R",28865156,"R",87,"R",6109368,"R",3,"R",94050,"Z",0,"Z",0,"R",198,"R",7540823,"Z",0,"Z",0,"R",622,"R",21902976,"R",45,"R",1913877,"Z",0,"Z",0
227191,"R",267,"R",12235556,"Z",0,"Z",0,"Z",0,"Z",0,"R",47,"R",1968648,"R",47,"R",3372182,"R",11,"R",500084,"R",16,"R",868484,"R",43,"R",1758517,"R",2,"R",110528,"R",22,"R",941578,"R",3,"R",77665,"R",64,"R",2142392,"R",12,"R",495478,"Z",0,"Z",0
227216,"R",2367,"R",113321997,"R",64,"R",3423433,"Z",0,"Z",0,"R",310,"R",13860098,"R",391,"R",35915683,"R",166,"R",7835937,"R",125,"R",6628540,"R",134,"R",7994315,"R",43,"R",2564869,"R",488,"R",11483479,"R",1,"R",33705,"R",501,"R",18029462,"R",132,"R",5134689,"R",12,"R",417787
227225,"R",126,"R",5479480,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",946658,"R",18,"R",1447394,"R",10,"R",492598,"R",5,"R",247163,"R",37,"R",1270325,"Z",0,"Z",0,"R",10,"R",317274,"Z",0,"Z",0,"R",24,"R",758068,"Z",0,"Z",0,"Z",0,"Z",0
227243,"R",14,"R",710219,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",226440,"R",3,"R",161000,"R",1,"R",45000,"R",2,"R",94190,"Z",0,"Z",0,"R",1,"R",45656,"Z",0,"Z",0,"R",5,"R",137933,"Z",0,"Z",0,"Z",0,"Z",0
