Position,Wages,Count
Stdt Affairs Ofcr 3 Supv,946556,18
Budget Anl Sr,982880,17
Food Svc Worker Prn,1017206,33
Police Ofcr,1020006,12
Asst Specialist,1025622,39
Info Sys Mgr 1,1025647,9
Stdt Affairs Ofcr 4,1035135,19
Admin Anl Prn Supv,1080864,13
Vice Chan Asc,1101222,6
Spec,1102858,8
Admin Anl Sr Supv,1109805,17
Sci Asc,1133101,10
Dean Ast,1135001,10
Ast To Blank 1 Supv,1168387,18
Admin Anl Ast,1181493,27
Bldg Maint Worker Sr,1214819,26
Asst Proj Scientist-Fy,1231502,26
Progr Anl 3,1344904,22
Ast To Dean Dir Chair 1,1368773,24
Dean,1383596,6
Astronomer,1422896,8
Auto Equip Opr Sr,1446235,47
Jr Specialist,1461157,96
Assoc Prof-Ay-B/E/E,1541214,14
Teacher-Unex-Contract Yr,1577893,179
Sys Adm 3,1581849,20
Budget Anl,1659498,31
Res-Fy,1676699,14
Applications Progr 3,1688079,21
Specialist,1709020,26
Assoc Specialist,1719857,34
Info Sys Anl 3,1752499,22
Mgt Svc Ofcr 2 Supv,1852289,28
Stdt Affairs Ofcr 1,1899253,101
Stdt Affairs Ofcr 5 Supv Ex,2015345,27
Lect-Ay-1/9,2048028,194
Mgt Svc Ofcr 1,2086414,46
Stdt Affairs Ofcr 3 Ex,2195771,48
Progr Anl 5,2370161,17
Asst Prof-Ay-B/E/E,2389205,20
Mgr,2469525,22
Admin Anl Prn 1,2491697,36
Food Svc Worker Sr,2566408,73
Blank Ast 2,2779227,104
Admin Spec,2843122,69
Lect-Ay,3209180,88
Dir Ast,3523829,38
Admin Anl,3949777,84
Phys Plt Mech,3979422,48
Progr Anl 4,4292257,42
Postdoc-Employee,4841548,152
Stdt Affairs Ofcr 2,4849405,135
Custodian Sr,4903647,125
Lect-Ay-Continuing,5066829,85
Admin Anl Sr,5441527,92
Asst Prof-Ay,5962991,75
Blank Ast 3,7682803,209
Dir,7855350,64
Gsr-Partial Fee Rem,8326529,433
Prof-Ay-B/E/E,10335201,63
Stdt 4,11217343,4372
Assoc Prof-Ay,12342651,125
Teachg Asst-Gship,12458859,842
Prof-Ay,34491317,234
